tenant_id,client_id,invoice_amount,days_to_due,client_late_ratio_90d,client_invoice_count_90d,business_late_ratio_30d,month,weekday,is_month_end,label_late
tenant-01,tenant-01-client-025,3978.27,47,0.350784,24,0.156648,1,0,0,0
tenant-01,tenant-01-client-044,9114.73,45,0.463684,41,0.156648,1,0,0,1
tenant-01,tenant-01-client-041,9671.69,21,0.042605,44,0.096995,1,1,0,1
tenant-01,tenant-01-client-003,11294.04,32,0.068331,18,0.096995,1,1,0,0
tenant-01,tenant-01-client-021,3071.26,38,0.222154,26,0.096995,1,1,0,1
tenant-01,tenant-01-client-009,3543.19,42,0.008949,35,0.096995,1,1,0,0
tenant-01,tenant-01-client-009,7192.22,12,0.0,49,0.1062,1,2,0,0
tenant-01,tenant-01-client-044,5979.58,11,0.514199,25,0.1062,1,2,0,1
tenant-01,tenant-01-client-036,12067.62,7,0.249562,44,0.1062,1,2,0,0
tenant-01,tenant-01-client-018,10788.15,28,0.139535,8,0.1062,1,2,0,1
tenant-01,tenant-01-client-012,7166.62,13,0.302636,41,0.167189,1,3,0,0
tenant-01,tenant-01-client-010,5309.92,17,0.205688,35,0.167189,1,3,0,0
tenant-01,tenant-01-client-039,4619.29,8,0.333801,8,0.167189,1,3,0,0
tenant-01,tenant-01-client-016,12306.77,12,0.315418,6,0.093945,1,4,0,0
tenant-01,tenant-01-client-035,10749.78,15,0.083468,43,0.093945,1,4,0,0
tenant-01,tenant-01-client-039,5993.15,20,0.292081,35,0.093945,1,4,0,0
tenant-01,tenant-01-client-042,5303.08,40,0.289673,29,0.169515,1,5,0,0
tenant-01,tenant-01-client-038,7808.43,44,0.374452,15,0.169515,1,5,0,1
tenant-01,tenant-01-client-005,7256.49,24,0.097747,43,0.155964,1,0,0,0
tenant-01,tenant-01-client-016,11010.52,58,0.185458,27,0.127621,1,1,0,0
tenant-01,tenant-01-client-028,5826.1,53,0.271097,4,0.127621,1,1,0,1
tenant-01,tenant-01-client-026,10227.6,58,0.040783,7,0.127621,1,1,0,0
tenant-01,tenant-01-client-028,2666.81,36,0.319366,16,0.127621,1,1,0,0
tenant-01,tenant-01-client-036,1478.97,48,0.277236,35,0.127621,1,1,0,0
tenant-01,tenant-01-client-032,6801.25,32,0.199225,4,0.086631,1,2,0,0
tenant-01,tenant-01-client-030,4079.26,51,0.301162,47,0.086631,1,2,0,0
tenant-01,tenant-01-client-014,13565.69,44,0.418137,48,0.08899,1,3,0,1
tenant-01,tenant-01-client-038,6737.82,40,0.386377,11,0.08899,1,3,0,0
tenant-01,tenant-01-client-044,12082.05,32,0.648594,8,0.129504,1,4,0,1
tenant-01,tenant-01-client-043,8221.37,40,0.540864,21,0.078198,1,6,0,0
tenant-01,tenant-01-client-016,3806.73,15,0.29468,43,0.078198,1,6,0,0
tenant-01,tenant-01-client-040,13978.55,13,0.155177,5,0.070932,1,0,0,1
tenant-01,tenant-01-client-016,5249.04,17,0.339859,29,0.158086,1,1,0,0
tenant-01,tenant-01-client-042,7461.7,49,0.332483,36,0.158086,1,1,0,0
tenant-01,tenant-01-client-009,3790.79,13,0.078665,48,0.158086,1,1,0,0
tenant-01,tenant-01-client-041,11958.43,39,0.025047,32,0.09036,1,2,0,1
tenant-01,tenant-01-client-041,5999.23,24,0.0,3,0.09036,1,2,0,0
tenant-01,tenant-01-client-017,2362.76,35,0.323965,36,0.09036,1,2,0,1
tenant-01,tenant-01-client-024,8205.23,16,0.068244,28,0.124559,1,3,0,0
